frequency_Hz,period_s,power_A0,power_A1,power_A2,above_1pct_FAP_A0,above_1pct_FAP_A1,above_1pct_FAP_A2
0.00229450,435.83,0.000000,0.076179,0.026689,0,0,0
0.00232172,430.71,0.000000,0.325177,0.020032,0,0,0
0.00234927,425.66,0.000000,0.190194,0.880618,0,0,0
0.00237715,420.67,0.000000,0.107394,0.171868,0,0,0
0.00240535,415.74,0.000000,0.055756,0.081885,0,0,0
0.00243390,410.86,0.000000,0.777317,0.477032,0,0,0
0.00246278,406.05,0.000000,0.242206,0.098375,0,0,0
0.00249200,401.28,0.000000,0.395994,0.994986,0,0,0
0.00252157,396.58,0.000000,0.177265,3.739460,0,0,0
0.00255149,391.93,0.000000,0.244337,3.433999,0,0,0
0.00258176,387.33,0.000000,0.042760,0.554058,0,0,0
0.00261240,382.79,0.000000,0.139474,0.012292,0,0,0
0.00264339,378.30,0.000000,0.090899,0.130072,0,0,0
0.00267476,373.87,0.000000,0.043350,0.409790,0,0,0
0.00270650,369.48,0.000000,0.049436,0.116995,0,0,0
0.00273861,365.15,0.000000,0.264329,2.984836,0,0,0
0.00277111,360.87,0.000000,0.371710,1.967201,0,0,0
0.00280399,356.63,0.000000,0.246951,0.633320,0,0,0
0.00283726,352.45,0.000000,0.216114,0.852985,0,0,0
0.00287093,348.32,0.000000,1.151363,0.130697,0,0,0
0.00290499,344.24,0.000000,0.481548,0.505519,0,0,0
0.00293946,340.20,0.000000,0.481601,0.357320,0,0,0
0.00297434,336.21,0.000000,0.158305,0.782136,0,0,0
0.00300963,332.27,0.000000,0.152355,0.457707,0,0,0
0.00304534,328.37,0.000000,0.717456,0.284252,0,0,0
0.00308148,324.52,0.000000,0.381917,0.435522,0,0,0
0.00311804,320.71,0.000000,0.067459,0.718225,0,0,0
0.00315504,316.95,0.000000,0.388736,0.385629,0,0,0
0.00319248,313.24,0.000000,0.236245,1.717787,0,0,0
0.00323036,309.56,0.000000,0.690415,0.895265,0,0,0
0.00326869,305.93,0.000000,0.071064,0.283905,0,0,0
0.00330747,302.35,0.000000,0.294461,0.993052,0,0,0
0.00334672,298.80,0.000000,1.728900,15.601918,0,0,1
0.00338643,295.30,0.000000,0.389977,0.111485,0,0,0
0.00342661,291.83,0.000000,0.135106,2.700031,0,0,0
0.00346727,288.41,0.000000,0.011068,0.158520,0,0,0
0.00350841,285.03,0.000000,0.004014,1.697725,0,0,0
0.00355004,281.69,0.000000,0.004752,0.849855,0,0,0
0.00359216,278.38,0.000000,0.140915,1.451941,0,0,0
0.00363479,275.12,0.000000,0.323663,0.310306,0,0,0
0.00367792,271.89,0.000000,0.207570,0.115484,0,0,0
0.00372156,268.70,0.000000,0.310191,0.343245,0,0,0
0.00376572,265.55,0.000000,0.011919,0.213130,0,0,0
0.00381040,262.44,0.000000,0.772356,0.603070,0,0,0
0.00385561,259.36,0.000000,0.066312,0.069957,0,0,0
0.00390136,256.32,0.000000,0.124863,1.135559,0,0,0
0.00394765,253.32,0.000000,0.081192,1.065996,0,0,0
0.00399449,250.34,0.000000,0.130486,0.271346,0,0,0
0.00404189,247.41,0.000000,0.453948,0.426155,0,0,0
0.00408985,244.51,0.000000,0.175979,0.544916,0,0,0
0.00413838,241.64,0.000000,0.145295,0.104725,0,0,0
0.00418748,238.81,0.000000,0.006315,1.247578,0,0,0
0.00423717,236.01,0.000000,0.056649,0.192517,0,0,0
0.00428745,233.24,0.000000,0.178735,0.089715,0,0,0
0.00433832,230.50,0.000000,0.020677,0.016991,0,0,0
0.00438980,227.80,0.000000,0.267210,0.055908,0,0,0
0.00444189,225.13,0.000000,0.164852,0.180282,0,0,0
0.00449459,222.49,0.000000,0.176969,0.169762,0,0,0
0.00454792,219.88,0.000000,0.144584,0.366471,0,0,0
0.00460189,217.30,0.000000,0.042584,0.445402,0,0,0
0.00465649,214.75,0.000000,0.217740,0.639208,0,0,0
0.00471174,212.24,0.000000,0.041087,0.027351,0,0,0
0.00476765,209.75,0.000000,0.262223,0.136486,0,0,0
0.00482422,207.29,0.000000,0.188993,1.459368,0,0,0
0.00488147,204.86,0.000000,0.141627,0.093092,0,0,0
0.00493939,202.45,0.000000,0.320922,0.200698,0,0,0
0.00499800,200.08,0.000000,0.352243,0.093572,0,0,0
0.00505730,197.73,0.000000,0.146229,0.527962,0,0,0
0.00511731,195.42,0.000000,0.292578,0.011405,0,0,0
0.00517803,193.12,0.000000,0.162066,0.279512,0,0,0
0.00523947,190.86,0.000000,0.155892,0.456650,0,0,0
0.00530164,188.62,0.000000,0.021479,0.602162,0,0,0
0.00536455,186.41,0.000000,0.300632,0.169415,0,0,0
0.00542820,184.22,0.000000,0.021830,0.035127,0,0,0
0.00549261,182.06,0.000000,0.095034,0.164908,0,0,0
0.00555778,179.93,0.000000,0.084859,0.782732,0,0,0
0.00562373,177.82,0.000000,0.021054,0.230073,0,0,0
0.00569046,175.73,0.000000,0.137359,0.677007,0,0,0
0.00575798,173.67,0.000000,0.022926,0.480389,0,0,0
0.00582630,171.64,0.000000,0.385851,1.923074,0,0,0
0.00589543,169.62,0.000000,0.237052,0.304207,0,0,0
0.00596539,167.63,0.000000,0.107044,0.707452,0,0,0
0.00603617,165.67,0.000000,0.191434,0.072838,0,0,0
0.00610779,163.73,0.000000,0.266865,0.788171,0,0,0
0.00618027,161.81,0.000000,0.253841,1.185585,0,0,0
0.00625360,159.91,0.000000,0.031362,0.099369,0,0,0
0.00632780,158.03,0.000000,0.141721,0.396171,0,0,0
0.00640289,156.18,0.000000,0.352988,0.904082,0,0,0
0.00647886,154.35,0.000000,0.036946,0.387785,0,0,0
0.00655574,152.54,0.000000,0.003193,0.499105,0,0,0
0.00663352,150.75,0.000000,0.318155,1.822465,0,0,0
0.00671224,148.98,0.000000,0.054446,0.782484,0,0,0
0.00679188,147.23,0.000000,0.006271,0.195910,0,0,0
0.00687247,145.51,0.000000,0.034737,0.070778,0,0,0
0.00695402,143.80,0.000000,0.005133,0.219043,0,0,0
0.00703653,142.12,0.000000,0.056602,0.311043,0,0,0
0.00712002,140.45,0.000000,0.462014,0.538115,0,0,0
0.00720451,138.80,0.000000,0.432616,0.424776,0,0,0
0.00728999,137.17,0.000000,0.031563,0.583556,0,0,0
0.00737649,135.57,0.000000,0.110989,0.047953,0,0,0
0.00746402,133.98,0.000000,0.221582,0.242804,0,0,0
0.00755259,132.40,0.000000,0.029187,0.661751,0,0,0
