frequency_Hz,period_s,power_A0,power_A1,power_A2,above_1pct_FAP_A0,above_1pct_FAP_A1,above_1pct_FAP_A2
0.00267476,373.87,18.160584,1.953599,1.199041,1,0,0
0.00270650,369.48,14.046158,2.545543,1.810945,1,0,0
0.00273861,365.15,6.096904,3.524849,2.122602,0,0,0
0.00277111,360.87,9.472855,4.450788,2.862018,0,0,0
0.00280399,356.63,12.148712,7.183623,3.543544,1,0,0
0.00283726,352.45,5.500260,9.551371,3.722546,0,0,0
0.00287093,348.32,1.905223,9.901468,3.871320,0,0,0
0.00290499,344.24,7.647949,7.995445,4.077119,0,0,0
0.00293946,340.20,7.629569,8.220463,5.114732,0,0,0
0.00297434,336.21,5.209815,10.003802,4.844106,0,0,0
0.00300963,332.27,17.289845,9.234290,4.636461,1,0,0
0.00304534,328.37,25.595849,8.428292,4.984708,1,0,0
0.00308148,324.52,19.277719,6.070630,4.602978,1,0,0
0.00311804,320.71,20.914113,6.364777,4.082379,1,0,0
0.00315504,316.95,31.938822,5.198825,3.004800,1,0,0
0.00319248,313.24,26.123074,7.081338,2.347338,1,0,0
0.00323036,309.56,12.847535,7.291825,1.407518,1,0,0
0.00326869,305.93,13.385846,6.109126,1.069379,1,0,0
0.00330747,302.35,20.658424,5.131511,1.326030,1,0,0
0.00334672,298.80,19.877035,6.862719,1.838738,1,0,0
0.00338643,295.30,12.271408,4.746932,1.609861,1,0,0
0.00342661,291.83,18.620024,3.003973,1.195108,1,0,0
0.00346727,288.41,25.423643,1.101020,1.038406,1,0,0
0.00350841,285.03,13.984952,0.109193,0.619822,1,0,0
0.00355004,281.69,7.466411,0.252921,0.118087,0,0,0
0.00359216,278.38,8.046714,1.362915,0.104599,0,0,0
0.00363479,275.12,0.817203,3.953578,0.473755,0,0,0
0.00367792,271.89,1.930581,6.765069,1.488627,0,0,0
0.00372156,268.70,2.431762,6.344737,2.364583,0,0,0
0.00376572,265.55,5.031331,7.303387,3.378292,0,0,0
